Provider Id,Provider Name,Provider Street Address,Provider State,Provider Zip Code,"latitude,longitude",County,
10032,WEDOWEE HOSPITAL,209 NORTH MAIN STREET,AL,36278,"33.316648,-85.487436",randolph,
10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,AL,35233,"33.505869,-86.80208",jefferson,
10034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,AL,36078,"32.534053,-85.912363",elmore,
10035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,AL,35058,"34.207587,-86.874853",cullman,
10036,ANDALUSIA REGIONAL HOSPITAL,849 SOUTH THREE NOTCH STREET,AL,36420,"31.296329,-86.497314",covington,
10038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,AL,36201,"33.667688,-85.825046",calhoun,
10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,AL,35801,"34.721046,-86.581799",madison,
10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,AL,35903,"34.007793,-85.965875",etowah,
10043,CHILTON MEDICAL CENTER,1010 LAY DAM ROAD,AL,35045,"32.852485,-86.623006",chilton,
10044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,AL,35570,"34.126768,-87.991458",marion,
10045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,AL,35555,"33.707564,-87.823815",fayette,
10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,AL,35901,"34.004265,-86.003393",etowah,
10047,GEORGIANA HOSPITAL,515 MIRANDA ST,AL,36033,"31.636317,-86.742727",butler,
10049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,AL,36330,"31.318647,-85.855114",coffee,
10050,ST VINCENTS BLOUNT,150 GILBREATH DRIVE,AL,35121,"33.933303,-86.494995",blount,
10051,GREENE COUNTY HOSPITAL,509 WILSON AVENUE,AL,35462,"32.842183,-87.890069",greene,
10052,LAKE MARTIN COMMUNITY HOSPITAL,201 MARIARDEN ROAD,AL,36853,"32.820028,-85.741613",tallapoosa,
10054,PARKWAY MEDICAL CENTER,1874 BELTLINE RD SW,AL,35601,"34.575956,-87.016866",morgan,
10055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,AL,36305,"31.237907,-85.456757",houston,
10056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,AL,35205,"33.507181,-86.788911",jefferson,
10058,BIBB MEDICAL CENTER,208 PIERSON AVE,AL,35042,"32.951183,-87.14802",bibb,
10059,LAWRENCE MEDICAL CENTER,202 HOSPITAL STREET,AL,35650,"34.482897,-87.286024",lawrence,
10061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,AL,35768,"34.661726,-86.046642",jackson,
10062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,AL,36340,"31.048231,-85.889986",geneva,
10065,RUSSELL HOSPITAL,3316 HIGHWAY 280,AL,35010,"32.885894,-85.869112",tallapoosa,
10066,FLORALA MEMORIAL HOSPITAL,24273 FIFTH AVENUE,AL,36442,"30.999801,-86.313391",Covington,
10069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,AL,36027,"31.8887,-85.1562",barbour,
10073,CLAY COUNTY HOSPITAL,83825 HIGHWAY 9    P O BOX 1270,AL,36251,"33.277435,-85.822079",clay,
10078,NORTHEAST ALABAMA REGIONAL MED CENTER,400 EAST 10TH STREET,AL,36207,"33.656395,-85.822835",calhoun,
10079,ATHENS-LIMESTONE HOSPITAL,700 WEST MARKET STREET,AL,35611,"34.804261,-86.979177",limestone,
10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,AL,36535,"30.426094,-87.684308",baldwin,
10085,DECATUR GENERAL HOSPITAL,1201 7TH STREET SE,AL,35609,"34.590414,-86.972417",morgan,
10086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,AL,35594,"33.930952,-87.824744",marion,
10087,UNIV OF SOUTH ALABAMA MEDICAL CENTER,2451 FILLINGIM STREET,AL,36617,"30.707288,-88.098563",mobile,
10089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,AL,35502,"33.841043,-87.236541",walker,
10090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,AL,36608,"30.678282,-88.198552",mobile,
10091,GROVE HILL MEMORIAL HOSPITAL,295 JACKSON HWY S,AL,36451,"31.694283,-87.776097",clarke,
10092,D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,AL,35401,"33.204795,-87.526696",tuscaloosa,
10095,HALE COUNTY HOSPITAL,508 GREEN STREET,AL,36744,"32.694756,-87.586735",hale,
10097,ELMORE COMMUNITY HOSPITAL,500 HOSPITAL DRIVE,AL,36092,"32.551243,-86.190172",elmore,
10099,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,AL,36426,"31.124975,-87.071267",escambia,
10100,THOMAS HOSPITAL,750 MORPHY AVENUE,AL,36532,"30.519993,-87.88864",baldwin,
10101,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,AL,35161,"33.439779,-86.092135",talladega,
10102,J PAUL JONES HOSPITAL,317 MCWILLIAMS AVENUE,AL,36726,"31.997575,-87.299974",Wilcox,
10103,BAPTIST MEDICAL CENTER-PRINCETON,701 PRINCETON AVENUE SOUTHWEST,AL,35211,"33.498402,-86.847017",jefferson,
10104,TRINITY MEDICAL CENTER,800 MONTCLAIR RD,AL,35213,"33.516359,-86.748339",jefferson,
10108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,AL,36067,"32.464172,-86.451767",autauga,
10109,PICKENS COUNTY MEDICAL CENTER,241 ROBERT K WILSON,AL,35447,"33.275973,-88.091221",pickens,
10110,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,AL,36089,"32.146119,-85.713048",bullock,
10112,BRYAN W WHITFIELD MEM HOSP INC,105 HIGHWAY 80 EAST,AL,36732,"32.503793,-87.837467",marengo,
10113,MOBILE INFIRMARY,5 MOBILE INFIRMARY CIRCLE,AL,36652,"30.696394,-88.079839",mobile,
10114,MEDICAL WEST AN AFFILIATE OF UAB HEALTH SYSTEM,995 9TH AVENUE SOUTHWEST,AL,35021,"33.373157,-86.991679",jefferson,
10118,VAUGHAN REG MED CENTER PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,AL,36701,"32.429449,-87.056043",dallas,
10120,MONROE COUNTY HOSPITAL,2016 SOUTH ALABAMA AVENUE,AL,36461,"31.49479,-87.320061",monroe,
10125,LAKELAND COMMUNITY HOSPITAL,42024 HIGHWAY 195 E     POST OFFICE BOX 780,AL,35565,"34.241243,-87.590589",winston,
10126,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,AL,36081,"31.78115,-85.944909",pike,
10128,JACKSON MEDICAL CENTER,220 HOSPITAL DRIVE,AL,36545,"31.531195,-87.895053",clarke,
10129,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,AL,36507,"30.903938,-87.785023",baldwin,
10130,ST VINCENT'S ST CLAIR,7063 VETERANS PARKWAY,AL,35125,"33.604313,-86.301816",st clair,
10131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,AL,35801,"34.693583,-86.572207",madison,
10138,HILL HOSPITAL OF SUMTER COUNTY,751 DERBY DRIVE,AL,36925,"32.491741,-88.296047",sumter,
10139,BROOKWOOD MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,AL,35209,"33.464237,-86.776409",jefferson,
10144,SPRINGHILL MEDICAL CENTER,3719 DAUPHIN STREET,AL,36608,"30.685234,-88.131711",mobile,
10145,NORTHPORT MEDICAL CENTER,2700 HOSPITAL DRIVE,AL,35476,"33.23361,-87.571248",tuscaloosa,
10146,JACKSONVILLE MEDICAL CENTER,1701 SOUTH PELHAM ROAD,AL,36265,"33.784545,-85.762972",calhoun,
10148,EVERGREEN MEDICAL CENTER,101 CRESTVIEW AVENUE,AL,36401,"31.430978,-86.940821",conecuh,
10149,BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,AL,36117,"32.374525,-86.17075",montgomery,
10150,L V STABLER MEMORIAL HOSPITAL,29 L V STABLER DRIVE,AL,36037,"31.829137,-86.646326",butler,
10152,INFIRMARY WEST,5600 GIRBY RD,AL,36693,"30.619167,-88.172811",mobile,
10157,SHOALS HOSPITAL,201 WEST AVALON AVENUE,AL,35661,"34.744969,-87.675383",colbert,
10158,RUSSELLVILLE HOSPITAL,15155 HIGHWAY 43,AL,35653,"34.510773,-87.718347",franklin,
10164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,AL,35150,"33.164447,-86.255204",talladega,
10168,JACK HUGHSTON MEMORIAL HOSPITAL,4401 RIVER CHASE DRIVE,AL,36867,"32.508085,-85.008671",lee,
10169,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,AL,36502,"31.016625,-87.476349",escambia,
20001,PROVIDENCE ALASKA MEDICAL CENTER,BOX 196604,AK,99519,"60.949017,-149.170336",Anchorage,
20006,MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,AK,99645,"61.56316,-149.257638",Matanuska-Susitna,
20008,BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR,AK,99801,"58.328916,-134.465065",Juneau,
20012,FAIRBANKS MEMORIAL HOSPITAL,1650 COWLES STREET,AK,99701,"64.831157,-147.739947",Fairbanks North Star,
20017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,AK,99508,"61.210404,-149.828634",Anchorage,
20018,YUKON KUSKOKWIM DELTA REG HOSPITAL,PO BOX 287,AK,99559,"60.785128,-161.79471",Bethel,
20024,CENTRAL PENINSULA GENERAL HOSPITAL,250 HOSPITAL PLACE,AK,99669,"60.493441,-151.078012",Kenai Peninsula Borough,
20026,ALASKA NATIVE MEDICAL CENTER,4315 DIPLOMACY DR,AK,99508,"61.182742,-149.800663",Anchorage,
20027,MT EDGECUMBE HOSPITAL,222 TONGASS DR,AK,99835,"57.05199,-135.355199",Sitka,
30001,MARYVALE HOSPITAL,5102 WEST CAMPBELL AVENUE,AZ,85031,"33.50278,-112.170688",maricopa,
30002,BANNER GOOD SAMARITAN MEDICAL CENTER,1111 EAST MCDOWELL ROAD,AZ,85006,"33.46494,-112.057956",maricopa,
30006,TUCSON MEDICAL CENTER,5301 EAST GRANT ROAD,AZ,85712,"32.252903,-110.87808",pima,
30007,VERDE VALLEY MEDICAL CENTER,269 SOUTH CANDY LANE,AZ,86326,"34.735776,-112.029256",yavapai,
30010,CARONDELET ST  MARYS HOSPITAL,1601 WEST ST MARY'S ROAD,AZ,85745,"32.228315,-110.999589",pima,
30011,CARONDELET ST JOSEPHS HOSPITAL,350 NORTH WILMOT ROAD,AZ,85711,"32.226567,-110.855335",pima,
30012,YAVAPAI REGIONAL MEDICAL CENTER,1003 WILLOW CREEK ROAD,AZ,86301,"34.55962,-112.481188",yavapai,
30013,YUMA REGIONAL MEDICAL CENTER,2400 SOUTH AVENUE A,AZ,85364,"32.682399,-114.634916",yuma,
30014,JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL,250 EAST DUNLAP AVENUE,AZ,85020,"33.569459,-112.070877",maricopa,
30016,CASA GRANDE REGIONAL MEDICAL CENTER,1800 EAST FLORENCE BOULEVARD,AZ,85222,"32.88074,-111.709745",pinal,
30022,MARICOPA MEDICAL CENTER,2601 EAST ROOSEVELT STREET,AZ,85008,"33.457659,-112.026112",maricopa,
30023,FLAGSTAFF MEDICAL CENTER,1200 NORTH BEAVER STREET,AZ,86001,"35.20832,-111.643986",coconino,
30024,ST JOSEPH'S HOSPITAL AND MEDICAL CENTER,350 WEST THOMAS ROAD,AZ,85013,"33.481882,-112.07931",maricopa,
30030,PHOENIX BAPTIST HOSPITAL,2000 WEST BETHANY HOME ROAD,AZ,85015,"33.524771,-112.102196",maricopa,
30033,PAYSON REGIONAL MEDICAL CENTER,807 SOUTH PONDEROSA DRIVE,AZ,85541,"34.231738,-111.321319",gila,
30036,CHANDLER REGIONAL MEDICAL CENTER,475 SOUTH DOBSON ROAD,AZ,85224,"33.297135,-111.874694",maricopa,
30037,ST LUKES MEDICAL CENTER,1800 EAST VAN BUREN STREET,AZ,85006,"33.454431,-112.042411",maricopa,
30038,SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER,7400 EAST OSBORN ROAD,AZ,85251,"33.488673,-111.923149",maricopa,
30043,SIERRA VISTA REGIONAL HEALTH CENTER INC,300 EL CAMINO REAL,AZ,85635,"31.551158,-110.272461",cochise,
30055,KINGMAN REGIONAL MEDICAL CENTER,3269 STOCKTON HILL ROAD,AZ,86409,"35.220318,-114.037119",mohave,
30061,BANNER BOSWELL MEDICAL CENTER,10401 WEST THUNDERBIRD BOULEVARD,AZ,85351,"33.60426,-112.283799",maricopa,
30062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,2200 SHOW LOW LAKE ROAD,AZ,85901,"34.201946,-110.019152",navajo,
30064,UNIVERSITY OF ARIZONA MEDICAL CTR-UNIVERSIT THE,1501 NORTH CAMPBELL AVENUE,AZ,85724,"32.240983,-110.945769",pima,
30065,BANNER DESERT MEDICAL CENTER,1400 SOUTH  DOBSON ROAD,AZ,85202,"33.389984,-111.877013",maricopa,
30067,LA PAZ REGIONAL HOSPITAL,1200 WEST MOHAVE ROAD,AZ,85344,"34.135518,-114.284778",la paz,
30068,MT GRAHAM REGIONAL MEDICAL CENTER,1600  SOUTH 20TH AVENUE,AZ,85546,"32.822625,-109.734994",graham,
30069,HAVASU REGIONAL MEDICAL CENTER,101 CIVIC CENTER LANE,AZ,86403,"34.480364,-114.338942",mohave,
30071,FORT DEFIANCE INDIAN HOSPITAL,PO BOX 649,AZ,86504,"35.759317,-109.048399",apache,
30073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,PO BOX 600,AZ,86045,"36.135848,-111.237005",coconino,
30078,PHOENIX INDIAN MEDICAL CENTER,4212 NORTH 16TH STREET,AZ,85016,"33.49695,-112.049421",maricopa,
30083,PARADISE VALLEY HOSPITAL,3929 EAST BELL ROAD,AZ,85032,"33.639414,-111.997391",maricopa,
30084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,US HWY 191 HOSPITAL ROAD,AZ,86503,"36.157581,-109.607696",apache,
30085,NORTHWEST MEDICAL CENTER,6200 NORTH LA CHOLLA BOULEVARD,AZ,85741,"32.320277,-111.010075",pima,
30087,SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER,9003 EAST SHEA BOULEVARD,AZ,85260,"33.580069,-111.885143",maricopa,
30088,BANNER BAYWOOD MEDICAL CENTER,6644 EAST BAYWOOD AVENUE,AZ,85206,"33.411356,-111.687492",maricopa,
30089,BANNER THUNDERBIRD MEDICAL CENTER,5555 WEST THUNDERBIRD ROAD,AZ,85306,"33.609202,-112.179596",maricopa,
30092,JOHN C LINCOLN DEER VALLEY HOSPITAL,19829 NORTH 27TH AVENUE,AZ,85027,"33.665727,-112.116108",maricopa,
30093,BANNER DEL E WEBB MEDICAL CENTER,14502 WEST MEEKER BOULEVARD,AZ,85375,"33.659653,-112.372831",maricopa,
30094,ARROWHEAD HOSPITAL,18701 NORTH 67TH AVENUE,AZ,85308,"33.65509,-112.201546",maricopa,
30100,CARONDELET HEART AND VASCULAR INSTITUTE,4888 NORTH STONE AVENUE,AZ,85704,"32.294444,-110.970281",pima,
30101,WESTERN ARIZONA REGIONAL MEDICAL CTR,2735 SILVER CREEK ROAD,AZ,86442,"35.110817,-114.554983",mohave,
30103,MAYO CLINIC HOSPITAL,5777 EAST MAYO BOULEVARD,AZ,85054,"33.658899,-111.956419",maricopa,
30105,BANNER HEART HOSPITAL,6750 EAST BAYWOOD AVENUE,AZ,85206,"33.411357,-111.685836",maricopa,
30107,ARIZONA SPINE AND JOINT HOSPITAL,4620 EAST BASELINE ROAD,AZ,85206,"33.380264,-111.734607",maricopa,
30108,SURGICAL SPECIALTY HOSPITAL OF ARIZONA,6501 NORTH 19TH AVENUE,AZ,85015,"33.53215,-112.099126",maricopa,
30110,WEST VALLEY HOSPITAL,13677 WEST MCDOWELL ROAD,AZ,85395,"33.462557,-112.352149",maricopa,
30111,UNIVERSITY OF ARIZONA MEDICAL CTR- SOUTH CAM THE,2800 EAST AJO WAY,AZ,85713,"32.175922,-110.930751",pima,
30112,ARIZONA ORTHOPEDIC SURGICAL HOSPITAL,2905 WEST WARNER ROAD,AZ,85225,"33.334021,-111.891293",maricopa,
30113,WHITERIVER PHS INDIAN HOSPITAL,200 WEST HOSPITAL DRIVE  (PO BOX 860),AZ,85941,"33.8932,-109.9514",navajo,
30114,ORO VALLEY HOSPITAL,1551 EAST TANGERINE ROAD,AZ,85755,"32.429255,-110.948591",pima,
30115,BANNER ESTRELLA MEDICAL CENTER,9201 WEST THOMAS ROAD,AZ,85037,"33.478176,-112.257442",maricopa,
30117,VALLEY VIEW MEDICAL CENTER,5330 SOUTH HIGHWAY 95,AZ,86426,"35.002749,-114.596277",mohave,
30118,YAVAPAI REGIONAL MEDICAL CENTER-EAST,7700 EAST FLORENTINE ROAD,AZ,86314,"34.59084,-112.330795",yavapai,
30119,MERCY GILBERT MEDICAL CENTER,3555 SOUTH VAL VISTA DRIVE,AZ,85296,"33.287031,-111.752482",maricopa,
30120,GILBERT HOSPITAL,5656 SOUTH POWER ROAD,AZ,85295,"33.313797,-111.687335",maricopa,
30121,MOUNTAIN VISTA MEDICAL CENTER LP,1301 SOUTH CRISMON ROAD,AZ,85209,"33.391028,-111.615324",maricopa,
30122,BANNER GATEWAY MEDICAL CENTER,1900 NORTH HIGLEY ROAD,AZ,85234,"33.384047,-111.722567",maricopa,
30123,SCOTTSDALE HEALTHCARE-THOMPSON PEAK HOSPITAL,7400 EAST THOMPSON PEAK PARKWAY,AZ,85255,"33.670695,-111.922032",maricopa,
30126,ARIZONA REGIONAL MEDICAL CENTER,515 NORTH MESA DRIVE,AZ,85201,"33.424788,-111.821639",maricopa,
30128,HUALAPAI MOUNTAIN MEDICAL CENTER,3801 SANTA ROSA DRIVE,AZ,86401,"35.221288,-113.985677",mohave,
30131,OASIS HOSPITAL,750 NORTH 40TH STREET,AZ,85008,"33.456579,-111.996519",maricopa,
40001,SILOAM SPRINGS MEMORIAL HOSPITAL,205 EAST JEFFERSON STREET,AR,72761,"36.181814,-94.540055",benton,
40002,JOHNSON REGIONAL MEDICAL CENTER,1100 EAST POPLAR STREET,AR,72830,"35.464385,-93.44495",johnson,
40004,WASHINGTON REGIONAL MED CTR AT NORTH HILLS,3215 N NORTH HILLS BLVD,AR,72703,"36.109252,-94.159915",washington,
40007,ST VINCENT INFIRMARY MEDICAL CENTER,TWO ST VINCENT CIRCLE,AR,72205,"34.750467,-92.339372",pulaski,
40010,MERCY MEDICAL CENTER,2710 RIFE MEDICAL LANE,AR,72758,"36.308957,-94.183081",benton,
40011,JOHN ED CHAMBERS MEM HOSP INC,HIGHWAY 10 AT DETROIT STREET,AR,72833,"35.053996,-93.388555",yell,
40014,WHITE COUNTY MEDICAL CENTER,3214 EAST RACE AVENUE,AR,72143,"35.250688,-91.692333",white,
40015,MENA REGIONAL HEALTH SYSTEM,311 NORTH MORROW STREET,AR,71953,"34.589056,-94.221662",polk,
40016,UAMS MEDICAL CENTER,4301 WEST MARKHAM STREET MAIL SLOT 612,AR,72205,"34.748553,-92.319969",pulaski,
40017,NORTH ARKANSAS REGIONAL MEDICAL CENTER,620 NORTH MAIN STREET,AR,72601,"36.23664,-93.108513",boone,
40018,SUMMIT MEDICAL CENTER,EAST MAIN AND SOUTH 20TH STREET,AR,72956,"35.436533,-94.338117",crawford,
40019,FORREST CITY MEDICAL CENTER,1601 NEWCASTLE ROAD,AR,72335,"35.052267,-90.765375",st francis,
40020,ST BERNARDS MEDICAL CTR,225 E JACKSON,AR,72401,"35.836684,-90.702536",craighead,
40022,NW ARKANSAS HOSPITALS LLC,609 WEST MAPLE AVENUE,AR,72764,"36.180823,-94.136436",washington,
40026,ST JOSEPHS MERCY HEALTH CENTER INC,300 WERNER STREET,AR,71903,"34.46817,-93.066313",garland,
40027,BAXTER REGIONAL MEDICAL CENTER,624 HOSPITAL DRIVE,AR,72653,"36.34295,-92.394419",baxter,
40029,CONWAY REGIONAL MEDICAL CENTER,2302 COLLEGE AVENUE,AR,72034,"35.085985,-92.457661",faulkner,
40036,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,3333 SPRINGHILL DRIVE,AR,72117,"34.78377,-92.222052",pulaski,
40039,ARKANSAS METHODIST MEDICAL CENTER,900 WEST KINGSHIGHWAY,AR,72450,"36.052577,-90.497811",greene,
40041,ST MARYS REGIONAL MEDICAL CENTER,1808 WEST MAIN STREET,AR,72801,"35.28319,-93.149218",pope,
40042,CRITTENDEN MEMORIAL HOSPITAL,200 TYLER,AR,72301,"35.144101,-90.187682",crittenden,
40047,FIVE RIVERS MEDICAL CENTER,2801 MEDICAL CENTER DRIVE,AR,72455,"36.289821,-90.997503",randolph,
40050,OUACHITA COUNTY MEDICAL CENTER,638 CALIFORNIA AVENUE,AR,71701,"33.575864,-92.83626",ouachita,
40051,DREW MEMORIAL HOSPITAL,778 SCOGIN DRIVE,AR,71655,"33.608849,-91.815021",drew,
40055,SPARKS REGIONAL MEDICAL CENTER,1001 TOWSON AVENUE,AR,72901,"35.374531,-94.419414",sebastian,
40062,ST EDWARD MERCY MEDICAL CENTER,7301 ROGERS AVE,AR,72917,"35.355797,-94.352666",sebastian,
40067,MAGNOLIA HOSPITAL,101 HOSPITAL DRIVE,AR,71754,"33.274263,-93.239125",columbia,
40069,GREAT RIVER MEDICAL CENTER,1520 N DIVISION STREET,AR,72315,"35.942244,-89.918835",mississippi,
40071,JEFFERSON REGIONAL MEDICAL CENTER,1600 WEST 40TH AVENUE,AR,71603,"34.189071,-92.018171",jefferson,
40072,BAPTIST HEALTH MEDICAL CENTER-STUTTGART,1703 NORTH BUERKLE ROAD,AR,72160,"34.517748,-91.558784",arkansas,
40074,NORTH METRO MEDICAL CENTER,1400 BRADEN STREET,AR,72076,"34.873582,-92.124839",pulaski,
40076,HOT SPRING COUNTY MEDICAL CENTER,1001 SCHNEIDER DRIVE,AR,72104,"34.358789,-92.785668",hot spring,
40078,NATIONAL PARK MEDICAL CENTER,1910 MALVERN AVENUE,AR,71901,"34.486004,-93.035211",garland,
40080,HARRIS HOSPITAL,1205 MCLAIN STREET,AR,72112,"35.608362,-91.26499",jackson,
40084,SALINE MEMORIAL HOSPITAL,#1 MEDICAL PARK DRIVE,AR,72015,"34.572905,-92.585083",saline,
40085,HELENA REGIONAL MEDICAL CENTER,1801 MARTIN LUTHER KING DRIVE,AR,72342,"34.510219,-90.627179",phillips,
40088,MEDICAL CENTER SOUTH ARKANSAS,700 WEST GROVE STREET,AR,71731,"33.218377,-92.672285",union,
40091,MEDICAL PARK HOSPITAL,2001 SOUTH MAIN STREET,AR,71801,"33.649051,-93.587055",hempstead,
40114,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,9601 INTERSTATE 630 EXIT 7,AR,72205,"34.744562,-92.381458",pulaski,
40118,NEA BAPTIST MEMORIAL HOSPITAL,3024 STADIUM BOULEVARD,AR,72401,"35.803319,-90.6694",craighead,
40119,WHITE RIVER MEDICAL CENTER,1710 HARRISON STREET,AR,72503,"35.767877,-91.634296",independence,
40134,ARKANSAS HEART HOSPITAL,1701 S SHACKLEFORD ROAD,AR,72211,"34.739219,-92.393246",pulaski,
40137,ST VINCENT MEDICAL CENTER/NORTH,2215 WILDWOOD AVENUE,AR,72120,"34.81316,-92.208345",pulaski,
40147,ARKANSAS SURGICAL HOSPITAL,5201 NORTH SHORE DRIVE,AR,72118,"34.800302,-92.349093",pulaski,
40152,PHYSICIANS' SPECIALTY HOSPITAL,3873 NORTH PARKVIEW DRIVE,AR,72703,"36.121292,-94.13404",washington,
50002,ST ROSE HOSPITAL,27200 CALAROGA AVE,CA,94545,"37.633578,-122.088253",alameda,
50006,ST JOSEPH HOSPITAL,2700 DOLBEER ST,CA,95501,"40.783923,-124.142212",humboldt,
50007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,CA,94010,"37.592103,-122.383342",san mateo,
50008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,45 CASTRO STREET,CA,94114,"37.768668,-122.435427",san francisco,
50009,QUEEN OF THE VALLEY MEDICAL CENTER,1000 TRANCAS ST,CA,94558,"38.325159,-122.296623",napa,
50013,ST HELENA HOSPITAL,10 WOODLAND ROAD,CA,94574,"38.54255,-122.474827",napa,
50014,SUTTER AMADOR HOSPITAL,200 MISSION BLVD,CA,95642,"38.350483,-120.764465",amador,
50016,ARROYO GRANDE COMMUNITY HOSPITAL,345 S HALCYON RD,CA,93420,"35.113496,-120.590421",san luis obispo,
50017,MERCY GENERAL HOSPITAL,4001 J ST,CA,95819,"38.57026,-121.452408",sacramento,
50018,PACIFIC ALLIANCE MEDICAL CENTER,531 W COLLEGE ST,CA,90012,"34.065074,-118.239138",los angeles,
