Provider Id,Provider Name,Provider City,Provider State,County,povertyrate,Weighted Poverty Rate(r=50),WtedCharge,Latitude,Longitude
30033,PAYSON REGIONAL MEDICAL CENTER,PAYSON,AZ,gila,25.7,25.7,1.571045369,34.231738,-111.321319
30036,CHANDLER REGIONAL MEDICAL CENTER,CHANDLER,AZ,maricopa,17.4,17.4,1.447307995,33.297135,-111.874694
30037,ST LUKES MEDICAL CENTER,PHOENIX,AZ,maricopa,17.4,17.4,1.381687298,33.454431,-112.042411
30038,SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER,SCOTTSDALE,AZ,maricopa,17.4,17.4,1.157428663,33.488673,-111.923149
30043,SIERRA VISTA REGIONAL HEALTH CENTER INC,SIERRA VISTA,AZ,cochise,19.6,22.635253162543194,0.848638348,31.551158,-110.272461
30055,KINGMAN REGIONAL MEDICAL CENTER,KINGMAN,AZ,mohave,21.7,21.7,0.964335277,35.220318,-114.037119
30061,BANNER BOSWELL MEDICAL CENTER,SUN CITY,AZ,maricopa,17.4,17.4,1.178914828,33.60426,-112.283799
30062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,SHOW LOW,AZ,navajo,32.4,25.7,0.881829168,34.201946,-110.019152
30064,"UNIVERSITY OF ARIZONA MEDICAL CTR-UNIVERSIT, THE",TUCSON,AZ,pima,20.4,21.31849276792892,1.160246002,32.240983,-110.945769
30065,BANNER DESERT MEDICAL CENTER,MESA,AZ,maricopa,17.4,17.4,0.997077648,33.389984,-111.877013
30067,LA PAZ REGIONAL HOSPITAL,PARKER,AZ,la paz,24.2,24.2,0.719127338,34.135518,-114.284778
30068,MT GRAHAM REGIONAL MEDICAL CENTER,SAFFORD,AZ,graham,26,22.232968929594236,0.854047725,32.822625,-109.734994
30069,HAVASU REGIONAL MEDICAL CENTER,LAKE HAVASU CIT,AZ,mohave,21.7,24.2,1.18719364,34.480364,-114.338942
30071,FORT DEFIANCE INDIAN HOSPITAL,FORT DEFIANCE,AZ,apache,36.5,34.864541042528295,0.407742204,35.759317,-109.048399
30073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,TUBA CITY,AZ,coconino,21.6,21.6,0.52215461,36.135848,-111.237005
30078,PHOENIX INDIAN MEDICAL CENTER,PHOENIX,AZ,maricopa,17.4,17.4,0.536863734,33.49695,-112.049421
30083,PARADISE VALLEY HOSPITAL,PHOENIX,AZ,maricopa,17.4,17.4,1.076094392,33.639414,-111.997391
30084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,CHINLE,AZ,apache,36.5,36.5,0.335439964,36.157581,-109.607696
30085,NORTHWEST MEDICAL CENTER,TUCSON,AZ,pima,20.4,18.813465895460403,1.276614536,32.320277,-111.010075
30087,SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER,SCOTTSDALE,AZ,maricopa,17.4,17.4,1.095479108,33.580069,-111.885143
30088,BANNER BAYWOOD MEDICAL CENTER,MESA,AZ,maricopa,17.4,17.4,1.016693756,33.411356,-111.687492
30089,BANNER THUNDERBIRD MEDICAL CENTER,GLENDALE,AZ,maricopa,17.4,17.4,1.058484458,33.609202,-112.179596
30092,JOHN C LINCOLN DEER VALLEY HOSPITAL,PHOENIX,AZ,maricopa,17.4,17.4,1.13807725,33.665727,-112.116108
30093,BANNER DEL E WEBB MEDICAL CENTER,SUN CITY WEST,AZ,maricopa,17.4,17.4,1.183602028,33.659653,-112.372831
30094,ARROWHEAD HOSPITAL,GLENDALE,AZ,maricopa,17.4,17.4,0.896436783,33.65509,-112.201546
30100,CARONDELET HEART AND VASCULAR INSTITUTE,TUCSON,AZ,pima,20.4,21.1886347197822,0.92235261,32.294444,-110.970281
30101,WESTERN ARIZONA REGIONAL MEDICAL CTR,BULLHEAD CITY,AZ,mohave,21.7,21.7,2.320294339,35.110817,-114.554983
30103,MAYO CLINIC HOSPITAL,PHOENIX,AZ,maricopa,17.4,17.4,0.824509045,33.658899,-111.956419
30105,BANNER HEART HOSPITAL,MESA,AZ,maricopa,17.4,17.4,1.072798571,33.411357,-111.685836
30107,ARIZONA SPINE AND JOINT HOSPITAL,MESA,AZ,maricopa,17.4,17.4,0.781171129,33.380264,-111.734607
30108,SURGICAL SPECIALTY HOSPITAL OF ARIZONA,PHOENIX,AZ,maricopa,17.4,17.4,0.60507184,33.53215,-112.099126
30110,WEST VALLEY HOSPITAL,GOODYEAR,AZ,maricopa,17.4,17.4,0.938091926,33.462557,-112.352149
30111,"UNIVERSITY OF ARIZONA MEDICAL CTR- SOUTH CAM, THE",TUCSON,AZ,pima,20.4,21.466933790013044,0.734881071,32.175922,-110.930751
30112,ARIZONA ORTHOPEDIC SURGICAL HOSPITAL,CHANDLER,AZ,maricopa,17.4,17.4,1.012728327,33.334021,-111.891293
30113,WHITERIVER PHS INDIAN HOSPITAL,WHITERIVER,AZ,navajo,32.4,25.7,0.454450157,33.8932,-109.9514
30114,ORO VALLEY HOSPITAL,ORO VALLEY,AZ,pima,20.4,18.60743486968437,1.009992145,32.429255,-110.948591
30115,BANNER ESTRELLA MEDICAL CENTER,PHOENIX,AZ,maricopa,17.4,17.4,1.165557608,33.478176,-112.257442
30117,VALLEY VIEW MEDICAL CENTER,FORT MOHAVE,AZ,mohave,21.7,21.7,1.059133268,35.002749,-114.596277
30118,YAVAPAI REGIONAL MEDICAL CENTER-EAST,PRESCOTT VALLEY,AZ,yavapai,18.4,18.4,0.707819083,34.59084,-112.330795
30119,MERCY GILBERT MEDICAL CENTER,GILBERT,AZ,maricopa,17.4,17.4,1.488359307,33.287031,-111.752482
30120,GILBERT HOSPITAL,GILBERT,AZ,maricopa,17.4,17.4,0.913347851,33.313797,-111.687335
30121,"MOUNTAIN VISTA MEDICAL CENTER, LP",MESA,AZ,maricopa,17.4,17.4,1.390141796,33.391028,-111.615324
30122,BANNER GATEWAY MEDICAL CENTER,GILBERT,AZ,maricopa,17.4,17.4,1.102967994,33.384047,-111.722567
30123,SCOTTSDALE HEALTHCARE-THOMPSON PEAK HOSPITAL,SCOTTSDALE,AZ,maricopa,17.4,17.4,1.099706098,33.670695,-111.922032
30126,ARIZONA REGIONAL MEDICAL CENTER,MESA,AZ,maricopa,17.4,17.4,0.962334603,33.424788,-111.821639
30128,HUALAPAI MOUNTAIN MEDICAL CENTER,KINGMAN,AZ,mohave,21.7,21.7,1.059495029,35.221288,-113.985677
30131,OASIS HOSPITAL,PHOENIX,AZ,maricopa,17.4,17.4,0.636935267,33.456579,-111.996519
40001,SILOAM SPRINGS MEMORIAL HOSPITAL,SILOAM SPRINGS,AR,benton,12.1,20.010389913186923,0.782440874,36.181814,-94.540055
40002,JOHNSON REGIONAL MEDICAL CENTER,CLARKSVILLE,AR,johnson,20.8,20.485742211823155,0.366951076,35.464385,-93.44495
40004,WASHINGTON REGIONAL MED CTR AT NORTH HILLS,FAYETTEVILLE,AR,washington,20.1,20.036251968095716,0.836048249,36.109252,-94.159915
40007,ST VINCENT INFIRMARY MEDICAL CENTER,LITTLE ROCK,AR,pulaski,16.6,17.49283542164195,0.786121672,34.750467,-92.339372
40010,MERCY MEDICAL CENTER,ROGERS,AR,benton,12.1,19.38026308878913,0.873399657,36.308957,-94.183081
40011,"JOHN ED CHAMBERS MEM HOSP, INC",DANVILLE,AR,yell,19.5,20.745267408258446,0.206363238,35.053996,-93.388555
40014,WHITE COUNTY MEDICAL CENTER,SEARCY,AR,white,18,19.5814681445948,0.628952828,35.250688,-91.692333
40015,MENA REGIONAL HEALTH SYSTEM,MENA,AR,polk,22.1,22.39809282903089,0.463263884,34.589056,-94.221662
40016,UAMS MEDICAL CENTER,LITTLE ROCK,AR,pulaski,16.6,17.18368024847611,0.71548248,34.748553,-92.319969
40017,NORTH ARKANSAS REGIONAL MEDICAL CENTER,HARRISON,AR,boone,16.9,20.33343730654031,0.616513681,36.23664,-93.108513
40018,SUMMIT MEDICAL CENTER,VAN BUREN,AR,crawford,18,20.934089284267515,1.073178199,35.436533,-94.338117
40019,FORREST CITY MEDICAL CENTER,FORREST CITY,AR,st francis,32.9,26.568662530569803,0.833485371,35.052267,-90.765375
40020,ST BERNARDS MEDICAL CTR,JONESBORO,AR,craighead,20.6,23.055483548264398,0.356335794,35.836684,-90.702536
40022,"NW ARKANSAS HOSPITALS, LLC",SPRINGDALE,AR,washington,20.1,19.592180846802698,1.11366049,36.180823,-94.136436
40026,ST JOSEPHS MERCY HEALTH CENTER INC,HOT SPRINGS,AR,garland,20.9,18.594709194919805,0.818177559,34.46817,-93.066313
40027,BAXTER REGIONAL MEDICAL CENTER,MOUNTAIN HOME,AR,baxter,16.8,21.581601517394006,0.452761707,36.34295,-92.394419
40029,CONWAY REGIONAL MEDICAL CENTER,CONWAY,AR,faulkner,14.7,17.46412212995863,0.581150001,35.085985,-92.457661
40036,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,NORTH LITTLE RO,AR,pulaski,16.6,16.84515700487692,0.624226239,34.78377,-92.222052
40039,ARKANSAS METHODIST MEDICAL CENTER,PARAGOULD,AR,greene,17.4,23.683788966901275,0.495477947,36.052577,-90.497811
40041,ST MARYS REGIONAL MEDICAL CENTER,RUSSELLVILLE,AR,pope,22.1,20.098505375836485,0.812104211,35.28319,-93.149218
40042,CRITTENDEN MEMORIAL HOSPITAL,WEST MEMPHIS,AR,crittenden,26.6,22.891892463775683,0.817415387,35.144101,-90.187682
40047,FIVE RIVERS MEDICAL CENTER,POCAHONTAS,AR,randolph,23.4,22.741242884743013,0.361452743,36.289821,-90.997503
40050,OUACHITA COUNTY MEDICAL CENTER,CAMDEN,AR,ouachita,24.1,22.222407709529232,0.526458977,33.575864,-92.83626
40051,DREW MEMORIAL HOSPITAL,MONTICELLO,AR,drew,22.6,23.42549173034897,0.323583675,33.608849,-91.815021
40055,SPARKS REGIONAL MEDICAL CENTER,FORT SMITH,AR,sebastian,21.2,20.94669393260035,0.613248049,35.374531,-94.419414
40062,ST EDWARD MERCY MEDICAL CENTER,FORT SMITH,AR,sebastian,21.2,20.596122400933314,0.792967826,35.355797,-94.352666
40067,MAGNOLIA HOSPITAL,MAGNOLIA,AR,columbia,26.4,22.59662053427442,0.432808871,33.274263,-93.239125
40069,GREAT RIVER MEDICAL CENTER,BLYTHEVILLE,AR,mississippi,25.4,24.5201205158903,0.622098699,35.942244,-89.918835
40071,JEFFERSON REGIONAL MEDICAL CENTER,PINE BLUFF,AR,jefferson,24.3,19.575221280937193,0.606932766,34.189071,-92.018171
40072,BAPTIST HEALTH MEDICAL CENTER-STUTTGART,STUTTGART,AR,arkansas,18.5,24.99991525807424,0.431007561,34.517748,-91.558784
40074,NORTH METRO MEDICAL CENTER,JACKSONVILLE,AR,pulaski,16.6,16.87065843117235,0.538214188,34.873582,-92.124839
40076,HOT SPRING COUNTY MEDICAL CENTER,MALVERN,AR,hot spring,20.3,17.44337381062866,0.539973384,34.358789,-92.785668
40078,NATIONAL PARK MEDICAL CENTER,HOT SPRINGS,AR,garland,20.9,18.40459255333322,1.653531033,34.486004,-93.035211
40080,HARRIS HOSPITAL,NEWPORT,AR,jackson,23.9,21.946913121275877,1.314626336,35.608362,-91.26499
40084,SALINE MEMORIAL HOSPITAL,BENTON,AR,saline,10,17.4154536959137,0.616463341,34.572905,-92.585083
40085,HELENA REGIONAL MEDICAL CENTER,HELENA,AR,phillips,34,29.333784462094815,1.063540081,34.510219,-90.627179
40088,MEDICAL CENTER SOUTH ARKANSAS,EL DORADO,AR,union,21.5,24.080101239195358,1.076360252,33.218377,-92.672285
40091,MEDICAL PARK HOSPITAL,HOPE,AR,hempstead,24.7,22.586632209114605,0.596565608,33.649051,-93.587055
40114,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,LITTLE ROCK,AR,pulaski,16.6,17.430522004876977,0.743585424,34.744562,-92.381458
40118,NEA BAPTIST MEMORIAL HOSPITAL,JONESBORO,AR,craighead,20.6,22.93129587318082,0.776297742,35.803319,-90.6694
40119,WHITE RIVER MEDICAL CENTER,BATESVILLE,AR,independence,21.4,21.32072974058081,0.777730413,35.767877,-91.634296
40134,ARKANSAS HEART HOSPITAL,LITTLE ROCK,AR,pulaski,16.6,17.42952532357223,0.654810894,34.739219,-92.393246
